index,predicted_label,model_name
0,Semi-formal,typhoon-v2.1-12b-instruct
1,Semi-formal,typhoon-v2.1-12b-instruct
2,Semi-formal,typhoon-v2.1-12b-instruct
3,Semi-formal,typhoon-v2.1-12b-instruct
4,Ceremonial,typhoon-v2.1-12b-instruct
5,Ceremonial,typhoon-v2.1-12b-instruct
6,Formal,typhoon-v2.1-12b-instruct
7,Formal,typhoon-v2.1-12b-instruct
8,Formal,typhoon-v2.1-12b-instruct
9,Semi-formal,typhoon-v2.1-12b-instruct
10,Formal,typhoon-v2.1-12b-instruct
11,Casual,typhoon-v2.1-12b-instruct
12,Semi-formal,typhoon-v2.1-12b-instruct
13,Ceremonial,typhoon-v2.1-12b-instruct
14,Semi-formal,typhoon-v2.1-12b-instruct
15,Semi-formal,typhoon-v2.1-12b-instruct
16,Ceremonial,typhoon-v2.1-12b-instruct
17,Formal,typhoon-v2.1-12b-instruct
18,Formal,typhoon-v2.1-12b-instruct
19,Semi-formal,typhoon-v2.1-12b-instruct
20,Formal,typhoon-v2.1-12b-instruct
21,Semi-formal,typhoon-v2.1-12b-instruct
22,Casual,typhoon-v2.1-12b-instruct
23,Formal,typhoon-v2.1-12b-instruct
24,Casual,typhoon-v2.1-12b-instruct
25,Ceremonial,typhoon-v2.1-12b-instruct
26,Formal,typhoon-v2.1-12b-instruct
27,Semi-formal,typhoon-v2.1-12b-instruct
28,Formal,typhoon-v2.1-12b-instruct
29,Formal,typhoon-v2.1-12b-instruct
30,Semi-formal,typhoon-v2.1-12b-instruct
31,Semi-formal,typhoon-v2.1-12b-instruct
32,Ceremonial,typhoon-v2.1-12b-instruct
33,Ceremonial,typhoon-v2.1-12b-instruct
34,Semi-formal,typhoon-v2.1-12b-instruct
35,Ceremonial,typhoon-v2.1-12b-instruct
36,Formal,typhoon-v2.1-12b-instruct
37,Casual,typhoon-v2.1-12b-instruct
38,Semi-formal,typhoon-v2.1-12b-instruct
39,Semi-formal,typhoon-v2.1-12b-instruct
40,Formal,typhoon-v2.1-12b-instruct
41,Semi-formal,typhoon-v2.1-12b-instruct
42,Semi-formal,typhoon-v2.1-12b-instruct
43,Semi-formal,typhoon-v2.1-12b-instruct
44,Semi-formal,typhoon-v2.1-12b-instruct
45,Ceremonial,typhoon-v2.1-12b-instruct
46,Formal,typhoon-v2.1-12b-instruct
47,Casual,typhoon-v2.1-12b-instruct
48,Semi-formal,typhoon-v2.1-12b-instruct
49,Formal,typhoon-v2.1-12b-instruct
50,Casual,typhoon-v2.1-12b-instruct
51,Formal,typhoon-v2.1-12b-instruct
52,Casual,typhoon-v2.1-12b-instruct
53,Formal,typhoon-v2.1-12b-instruct
54,Casual,typhoon-v2.1-12b-instruct
55,Ceremonial,typhoon-v2.1-12b-instruct
56,Semi-formal,typhoon-v2.1-12b-instruct
57,Ceremonial,typhoon-v2.1-12b-instruct
58,Ceremonial,typhoon-v2.1-12b-instruct
59,Semi-formal,typhoon-v2.1-12b-instruct
60,Ceremonial,typhoon-v2.1-12b-instruct
61,Ceremonial,typhoon-v2.1-12b-instruct
62,Semi-formal,typhoon-v2.1-12b-instruct
63,Ceremonial,typhoon-v2.1-12b-instruct
64,Ceremonial,typhoon-v2.1-12b-instruct
65,Ceremonial,typhoon-v2.1-12b-instruct
66,Semi-formal,typhoon-v2.1-12b-instruct
67,Semi-formal,typhoon-v2.1-12b-instruct
68,Semi-formal,typhoon-v2.1-12b-instruct
69,Formal,typhoon-v2.1-12b-instruct
70,Formal,typhoon-v2.1-12b-instruct
71,Ceremonial,typhoon-v2.1-12b-instruct
72,Casual,typhoon-v2.1-12b-instruct
73,Semi-formal,typhoon-v2.1-12b-instruct
74,Semi-formal,typhoon-v2.1-12b-instruct
75,Semi-formal,typhoon-v2.1-12b-instruct
76,Semi-formal,typhoon-v2.1-12b-instruct
77,Semi-formal,typhoon-v2.1-12b-instruct
78,Formal,typhoon-v2.1-12b-instruct
79,Semi-formal,typhoon-v2.1-12b-instruct
80,Semi-formal,typhoon-v2.1-12b-instruct
81,Semi-formal,typhoon-v2.1-12b-instruct
82,Ceremonial,typhoon-v2.1-12b-instruct
83,Formal,typhoon-v2.1-12b-instruct
84,Formal,typhoon-v2.1-12b-instruct
85,Semi-formal,typhoon-v2.1-12b-instruct
86,Casual,typhoon-v2.1-12b-instruct
87,Ceremonial,typhoon-v2.1-12b-instruct
88,Semi-formal,typhoon-v2.1-12b-instruct
89,Semi-formal,typhoon-v2.1-12b-instruct
90,Semi-formal,typhoon-v2.1-12b-instruct
91,Casual,typhoon-v2.1-12b-instruct
92,Formal,typhoon-v2.1-12b-instruct
93,Casual,typhoon-v2.1-12b-instruct
94,Formal,typhoon-v2.1-12b-instruct
95,Semi-formal,typhoon-v2.1-12b-instruct
96,Formal,typhoon-v2.1-12b-instruct
97,Semi-formal,typhoon-v2.1-12b-instruct
98,Ceremonial,typhoon-v2.1-12b-instruct
99,Semi-formal,typhoon-v2.1-12b-instruct
100,Ceremonial,typhoon-v2.1-12b-instruct
101,Formal,typhoon-v2.1-12b-instruct
102,Formal,typhoon-v2.1-12b-instruct
103,Semi-formal,typhoon-v2.1-12b-instruct
104,Semi-formal,typhoon-v2.1-12b-instruct
105,Formal,typhoon-v2.1-12b-instruct
106,Ceremonial,typhoon-v2.1-12b-instruct
107,Semi-formal,typhoon-v2.1-12b-instruct
108,Semi-formal,typhoon-v2.1-12b-instruct
109,Formal,typhoon-v2.1-12b-instruct
110,Semi-formal,typhoon-v2.1-12b-instruct
111,Formal,typhoon-v2.1-12b-instruct
112,Ceremonial,typhoon-v2.1-12b-instruct
113,Formal,typhoon-v2.1-12b-instruct
114,Formal,typhoon-v2.1-12b-instruct
115,Casual,typhoon-v2.1-12b-instruct
116,Semi-formal,typhoon-v2.1-12b-instruct
117,Formal,typhoon-v2.1-12b-instruct
118,Formal,typhoon-v2.1-12b-instruct
119,Formal,typhoon-v2.1-12b-instruct
120,Formal,typhoon-v2.1-12b-instruct
121,Semi-formal,typhoon-v2.1-12b-instruct
122,Formal,typhoon-v2.1-12b-instruct
123,Casual,typhoon-v2.1-12b-instruct
124,Semi-formal,typhoon-v2.1-12b-instruct
125,Formal,typhoon-v2.1-12b-instruct
126,Ceremonial,typhoon-v2.1-12b-instruct
127,Ceremonial,typhoon-v2.1-12b-instruct
128,Semi-formal,typhoon-v2.1-12b-instruct
129,Semi-formal,typhoon-v2.1-12b-instruct
130,Formal,typhoon-v2.1-12b-instruct
131,Semi-formal,typhoon-v2.1-12b-instruct
132,Ceremonial,typhoon-v2.1-12b-instruct
133,Formal,typhoon-v2.1-12b-instruct
134,Ceremonial,typhoon-v2.1-12b-instruct
135,Formal,typhoon-v2.1-12b-instruct
136,Formal,typhoon-v2.1-12b-instruct
137,Semi-formal,typhoon-v2.1-12b-instruct
138,Formal,typhoon-v2.1-12b-instruct
139,Formal,typhoon-v2.1-12b-instruct
140,Formal,typhoon-v2.1-12b-instruct
141,Formal,typhoon-v2.1-12b-instruct
142,Semi-formal,typhoon-v2.1-12b-instruct
143,Ceremonial,typhoon-v2.1-12b-instruct
144,Ceremonial,typhoon-v2.1-12b-instruct
145,Semi-formal,typhoon-v2.1-12b-instruct
146,Ceremonial,typhoon-v2.1-12b-instruct
147,Ceremonial,typhoon-v2.1-12b-instruct
148,Semi-formal,typhoon-v2.1-12b-instruct
149,Ceremonial,typhoon-v2.1-12b-instruct
150,Casual,typhoon-v2.1-12b-instruct
151,Semi-formal,typhoon-v2.1-12b-instruct
152,Formal,typhoon-v2.1-12b-instruct
153,Semi-formal,typhoon-v2.1-12b-instruct
154,Ceremonial,typhoon-v2.1-12b-instruct
155,Ceremonial,typhoon-v2.1-12b-instruct
156,Formal,typhoon-v2.1-12b-instruct
157,Formal,typhoon-v2.1-12b-instruct
158,Casual,typhoon-v2.1-12b-instruct
159,Ceremonial,typhoon-v2.1-12b-instruct
160,Ceremonial,typhoon-v2.1-12b-instruct
161,Formal,typhoon-v2.1-12b-instruct
162,Formal,typhoon-v2.1-12b-instruct
163,Formal,typhoon-v2.1-12b-instruct
164,Semi-formal,typhoon-v2.1-12b-instruct
165,Ceremonial,typhoon-v2.1-12b-instruct
166,Ceremonial,typhoon-v2.1-12b-instruct
167,Casual,typhoon-v2.1-12b-instruct
168,Semi-formal,typhoon-v2.1-12b-instruct
169,Semi-formal,typhoon-v2.1-12b-instruct
170,Formal,typhoon-v2.1-12b-instruct
171,Formal,typhoon-v2.1-12b-instruct
172,Formal,typhoon-v2.1-12b-instruct
173,Formal,typhoon-v2.1-12b-instruct
174,Semi-formal,typhoon-v2.1-12b-instruct
175,Formal,typhoon-v2.1-12b-instruct
176,Formal,typhoon-v2.1-12b-instruct
177,Formal,typhoon-v2.1-12b-instruct
178,Formal,typhoon-v2.1-12b-instruct
179,Formal,typhoon-v2.1-12b-instruct
180,Semi-formal,typhoon-v2.1-12b-instruct
181,Casual,typhoon-v2.1-12b-instruct
182,Semi-formal,typhoon-v2.1-12b-instruct
183,Formal,typhoon-v2.1-12b-instruct
184,Formal,typhoon-v2.1-12b-instruct
185,Semi-formal,typhoon-v2.1-12b-instruct
186,Ceremonial,typhoon-v2.1-12b-instruct
187,Casual,typhoon-v2.1-12b-instruct
188,Semi-formal,typhoon-v2.1-12b-instruct
189,Semi-formal,typhoon-v2.1-12b-instruct
190,Ceremonial,typhoon-v2.1-12b-instruct
191,Formal,typhoon-v2.1-12b-instruct
192,Formal,typhoon-v2.1-12b-instruct
193,Semi-formal,typhoon-v2.1-12b-instruct
194,Semi-formal,typhoon-v2.1-12b-instruct
195,Semi-formal,typhoon-v2.1-12b-instruct
196,Ceremonial,typhoon-v2.1-12b-instruct
197,Semi-formal,typhoon-v2.1-12b-instruct
198,Semi-formal,typhoon-v2.1-12b-instruct
199,Semi-formal,typhoon-v2.1-12b-instruct
200,Semi-formal,typhoon-v2.1-12b-instruct
201,Formal,typhoon-v2.1-12b-instruct
202,Ceremonial,typhoon-v2.1-12b-instruct
203,Semi-formal,typhoon-v2.1-12b-instruct
204,Semi-formal,typhoon-v2.1-12b-instruct
205,Semi-formal,typhoon-v2.1-12b-instruct
206,Semi-formal,typhoon-v2.1-12b-instruct
207,Casual,typhoon-v2.1-12b-instruct
208,Ceremonial,typhoon-v2.1-12b-instruct
209,Formal,typhoon-v2.1-12b-instruct
210,Formal,typhoon-v2.1-12b-instruct
211,Formal,typhoon-v2.1-12b-instruct
212,Formal,typhoon-v2.1-12b-instruct
213,Ceremonial,typhoon-v2.1-12b-instruct
214,Semi-formal,typhoon-v2.1-12b-instruct
215,Semi-formal,typhoon-v2.1-12b-instruct
216,Formal,typhoon-v2.1-12b-instruct
217,Casual,typhoon-v2.1-12b-instruct
218,Semi-formal,typhoon-v2.1-12b-instruct
219,Semi-formal,typhoon-v2.1-12b-instruct
220,Ceremonial,typhoon-v2.1-12b-instruct
221,Semi-formal,typhoon-v2.1-12b-instruct
222,Semi-formal,typhoon-v2.1-12b-instruct
223,Casual,typhoon-v2.1-12b-instruct
224,Semi-formal,typhoon-v2.1-12b-instruct
225,Casual,typhoon-v2.1-12b-instruct
226,Formal,typhoon-v2.1-12b-instruct
227,Formal,typhoon-v2.1-12b-instruct
228,Formal,typhoon-v2.1-12b-instruct
229,Ceremonial,typhoon-v2.1-12b-instruct
230,Semi-formal,typhoon-v2.1-12b-instruct
231,Casual,typhoon-v2.1-12b-instruct
232,Semi-formal,typhoon-v2.1-12b-instruct
233,Formal,typhoon-v2.1-12b-instruct
234,Ceremonial,typhoon-v2.1-12b-instruct
235,Semi-formal,typhoon-v2.1-12b-instruct
236,Semi-formal,typhoon-v2.1-12b-instruct
237,Formal,typhoon-v2.1-12b-instruct
238,Semi-formal,typhoon-v2.1-12b-instruct
239,Formal,typhoon-v2.1-12b-instruct
240,Formal,typhoon-v2.1-12b-instruct
241,Formal,typhoon-v2.1-12b-instruct
242,Semi-formal,typhoon-v2.1-12b-instruct
243,Semi-formal,typhoon-v2.1-12b-instruct
244,Formal,typhoon-v2.1-12b-instruct
245,Ceremonial,typhoon-v2.1-12b-instruct
246,Formal,typhoon-v2.1-12b-instruct
247,Formal,typhoon-v2.1-12b-instruct
248,Semi-formal,typhoon-v2.1-12b-instruct
249,Semi-formal,typhoon-v2.1-12b-instruct
250,Semi-formal,typhoon-v2.1-12b-instruct
251,Ceremonial,typhoon-v2.1-12b-instruct
252,Semi-formal,typhoon-v2.1-12b-instruct
253,Formal,typhoon-v2.1-12b-instruct
